Name,Grade,Cut-Off,Branches-Allowed,Details
Adobe Systems,A++,60,COE; ECE; ICE; M.Tech(IS),0Date of Visit: 30th and 31st July 2012
Tata Motors,A++,60,MPA,Date of Visit 30th July
Microsoft_IDC_COE_IT,A++,0,COE; IT,500Deadline is 1500hrs 28th July
Microsoft_IDC_ECE_ICE,A++,70,ECE; ICE,0Deadline is 1500hrs 28th July
Microsoft_SMSG,A++,70,COE; ECE; ICE; IT,0Deadline is 1500hrs 28th July
Facebook Engineering,Dream,0,COE; ECE; IT,0Deadline is 29 July 1000 HRS.No backlogs allowed
Amazon IDC,A++,0,COE; IT; M.Tech(IS),0
Directi,A++,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),99999
DE Shaw_COE/IT/IS,A++,60,COE; IT; M.Tech(IS),123Further shortlisting possible
DE Shaw_Rest of the branches,A++,65,ECE; ICE; MPA; BT; M.Tech(SP); M.Tech(PC),123Further shortlisting possible
Flipkart India Pvt. Ltd.,A++,60,COE; IT; M.Tech(IS),123further shortlisting possible
Yahoo!,A++,60,COE; ECE; IT; M.Tech(IS),123Further Shortlisting possible
Qualcomm (ECE,ICE),A++,70,ECE; ICE,0Eligibility Criteria: 70% and above; (on-campus PPO's not allowed to apply)
Qualcomm (COE,IT),A++,70,COE; IT,0Eligibility Criteria: 70% and above
Tally Solutions,A++,60,COE; IT; M.Tech(IS),0Further shortlisting possible
Epic,Dream,65,COE; IT; M.Tech(IS),0Further shortlisting possible
Indus Insights,A++,65,COE; ECE; ICE; MPA; IT; BT,0Further shortlisting possible
Cosmic Circuits,A++,70,ECE;ICE,0Further shortlisting is possible
CISCO Systems,A++,65,COE; ECE; ICE; IT; M.Tech(IS),0Further shortlisting possible
BCC,A++,0,COE; ECE; ICE; MPA; IT; BT,98098Make sure the PDF file is in proper format
Google IN_US,Dream,70,COE; IT; M.Tech(IS),0
The Smart Cube,A++,60,COE; ECE; ICE; MPA; IT; BT,1
Winshuttle Software,A++,60,COE; ECE; IT,0
Texas Instruments,A++,65,COE; ECE; ICE; IT; M.Tech(SP); M.Tech(IS),0Further shortlisting possible
Deloitte_BTA,A++,60,COE; ECE; IT; M.Tech(IS); ICE,1
